W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2019-07-28,1,0,3.06,1,0,5.0,5,0,0,0,2,6,1.12
2019-08-02,1,0,3.05,1,0,6.0,3,2,2,1,5,6,1.13
2019-08-09,1,0,2.99,1,0,5.2,5,1,1,1,2,4,1.13
2019-08-14,0,0,3.11,1,0,3.1,9,7,3,0,1,1,1.18
2019-08-19,1,0,3.18,1,0,5.2,10,3,3,1,0,8,1.2
2019-08-24,1,0,3.13,1,0,5.0,5,1,1,1,1,4,1.2
2019-08-30,0,0,3.06,1,0,3.2,2,1,0,0,5,5,1.22
2019-09-05,0,0,3.35,1,0,0.0,5,5,5,1,1,0,1.26
2019-09-10,0,1,3.74,1,0,0.1,7,7,7,0,1,0,1.3
2019-09-15,1,0,3.71,1,0,6.0,7,2,2,0,2,4,1.31
2019-09-21,0,1,3.91,1,0,1.0,4,4,4,1,1,0,1.33
2019-09-26,0,0,3.98,1,0,4.0,5,3,3,0,2,2,1.34
2020-07-27,0,1,27.0,1,0,1.2,4,6,5,0,2,3,3.6
2020-08-12,0,1,16.2,1,0,1.2,2,1,1,0,2,2,3.0
2020-08-22,0,1,9.72,1,0,5.0,7,3,3,1,3,3,2.4
2020-08-27,0,0,6.57,1,0,4.0,1,0,0,0,1,3,1.78
2020-09-23,0,0,6.08,0,0,1.0,1,0,0,0,0,0,1.73
2020-09-25,0,0,5.65,0,0,1.0,0,0,0,0,1,1,1.67
2021-04-06,1,0,0.0,1,0,6.0,2,0,0,0,1,6,0.5
2021-04-12,1,0,0.0,1,0,5.0,2,0,0,0,1,3,0.55
2021-04-18,0,1,2.25,1,0,5.0,5,4,4,2,1,5,0.75
2021-04-24,0,1,2.45,1,0,6.0,5,2,2,0,2,2,0.86
2021-04-30,1,0,2.67,1,0,5.0,5,2,2,1,2,3,0.96
2021-05-07,1,0,2.0,1,0,9.0,0,0,0,0,1,8,0.75
2021-05-14,0,1,3.69,1,0,3.0,11,8,8,0,3,5,1.05
2021-05-19,0,1,3.5,1,0,4.2,6,1,1,0,0,2,1.08
2021-05-31,1,0,3.26,1,0,6.0,6,1,1,0,3,6,1.13
2021-06-06,0,0,2.96,1,0,5.0,4,0,0,0,2,8,1.13
2021-06-12,1,0,2.92,1,0,7.0,6,3,2,0,1,3,1.12
2021-06-17,0,0,2.88,1,0,7.0,4,2,2,2,2,5,1.09
2021-06-22,0,0,2.85,1,0,7.0,5,2,2,1,0,6,1.06
2021-06-28,0,0,3.09,1,0,6.0,8,4,4,0,3,7,1.11
2021-07-04,0,0,3.06,1,0,6.2,10,2,2,0,1,3,1.15
2021-07-09,1,0,2.8,1,0,8.0,7,0,0,0,3,4,1.16
2021-07-20,1,0,2.72,1,0,6.1,7,2,1,1,2,8,1.18
2021-07-26,0,0,2.86,1,0,4.1,7,3,3,1,5,2,1.24
2021-07-31,0,0,2.92,1,0,7.0,4,3,3,1,3,2,1.23
2021-08-06,1,0,2.75,1,0,7.0,6,0,0,0,2,5,1.22
2021-08-11,0,0,3.0,1,0,5.0,5,5,5,1,3,4,1.24
2021-08-16,1,0,2.84,1,0,7.0,4,0,0,0,1,7,1.21
2021-08-21,0,0,2.88,1,0,4.2,5,2,2,0,3,3,1.23
2021-08-27,1,0,2.74,1,0,7.0,6,0,0,0,1,5,1.22
2021-09-01,0,1,2.97,1,0,4.0,12,5,5,3,1,2,1.27
2021-09-07,1,0,2.89,1,0,7.0,5,1,1,1,0,8,1.25
2021-09-14,0,1,3.09,1,0,4.1,10,6,5,0,2,1,1.29
2021-09-19,0,1,3.37,1,0,3.0,9,6,6,3,1,2,1.33
