W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
2019-07-31,1,0,3.07,7.0,7,0,0,0,7,1.12
2019-08-05,0,0,3.06,6.1,1,2,1,2,5,1.09
2019-08-10,0,1,3.48,2.2,12,7,3,0,2,1.16
2019-08-16,0,0,3.37,7.0,3,1,0,1,1,1.13
2019-08-22,1,0,3.2,7.0,3,0,0,0,7,1.1
2019-08-28,0,0,3.47,4.2,8,6,2,1,3,1.12
2019-09-02,0,0,3.39,6.0,3,1,0,1,7,1.1
2019-09-09,1,0,3.33,5.2,7,1,0,1,5,1.11
2019-09-14,1,0,3.26,6.0,7,1,0,0,2,1.12
2019-09-19,0,0,3.37,5.1,8,4,0,1,6,1.13
2019-09-24,0,1,3.46,6.0,6,4,0,0,5,1.13
2020-07-24,1,0,0.0,9.0,3,0,0,0,9,0.33
2020-07-29,0,1,4.05,4.1,7,6,1,2,3,0.9
2020-08-04,1,0,3.54,7.0,7,2,0,0,3,0.93
2020-08-12,1,0,3.08,6.0,7,1,0,0,5,0.99
2020-08-17,0,1,3.31,6.1,3,3,1,1,5,0.92
2020-08-22,0,1,3.55,5.1,7,3,2,1,3,1.0
2020-08-28,0,1,4.09,6.0,10,5,2,0,6,1.09
2020-09-02,1,0,3.78,6.0,6,1,1,2,6,1.12
2020-09-07,1,0,3.41,8.0,7,1,0,0,4,1.09
2020-09-12,0,0,3.29,7.2,6,2,1,0,7,1.05
2020-09-18,1,0,2.93,8.0,3,0,0,1,10,0.99
2020-09-23,0,1,2.88,7.2,7,2,2,1,3,1.0
2021-04-01,0,1,9.0,3.0,4,3,1,3,4,2.33
2021-04-07,0,0,3.0,6.0,4,0,0,1,6,1.33
2021-04-18,0,1,6.92,4.0,7,7,4,3,2,1.69
2021-04-23,1,0,5.68,6.0,6,2,2,1,6,1.53
2021-04-28,0,1,7.54,3.2,11,7,3,0,3,1.76
2021-05-04,1,0,6.07,7.0,7,1,1,1,6,1.62
2021-05-09,0,1,6.23,5.0,9,4,0,1,3,1.67
2021-05-16,1,0,5.27,8.0,8,1,0,0,8,1.55
2021-05-21,1,0,4.74,6.2,7,1,0,1,4,1.5
2021-05-27,1,0,4.63,7.0,6,3,3,0,5,1.42
2021-06-01,1,0,4.62,6.0,7,3,2,0,4,1.4
2021-06-06,1,0,4.59,6.1,7,3,1,3,5,1.41
2021-06-12,1,0,4.46,6.0,3,2,2,1,2,1.35
2021-06-17,1,0,4.13,6.0,2,0,0,2,7,1.3
2021-06-22,1,0,3.84,6.0,4,0,0,0,5,1.26
2021-06-28,0,0,3.98,6.0,7,4,1,2,4,1.27
2021-07-04,0,0,3.83,6.0,5,1,0,0,5,1.25
2021-07-09,1,0,3.77,6.1,7,2,0,1,1,1.25
2021-07-16,1,0,3.65,6.0,6,1,0,3,4,1.26
2021-07-21,0,0,3.61,6.1,8,2,0,0,3,1.26
2021-07-26,0,0,3.85,4.1,9,5,2,2,4,1.31
2021-07-31,1,0,3.71,7.0,4,1,0,1,3,1.27
2021-08-06,0,0,3.68,6.0,7,2,0,3,7,1.29
2021-08-12,0,1,4.15,4.0,11,9,2,1,3,1.34
2021-08-17,1,0,4.04,6.0,3,1,1,3,3,1.33
2021-08-23,0,0,4.09,7.0,9,4,0,0,6,1.33
2021-08-29,0,1,4.43,4.2,7,8,3,2,4,1.34
2021-09-04,0,0,4.65,4.1,5,6,1,3,1,1.36
2021-09-10,0,0,4.54,6.0,4,1,0,2,4,1.34
2021-09-16,0,0,4.81,3.2,6,7,0,3,1,1.37
2021-09-22,0,1,4.81,5.2,5,3,2,0,3,1.35
2021-09-29,0,0,4.77,5.0,5,2,0,1,5,1.35
