,playerID,yearID,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,BA
99950,bauertr01,2015,CLE,AL,31,6,0,1,0,0,0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.167
99951,bautijo02,2015,TOR,AL,153,543,108,136,29,3,40,114.0,8.0,2.0,110,106.0,2.0,5.0,0.0,8.0,19.0,0.25
99952,baxtemi01,2015,CHN,NL,34,57,6,14,1,0,0,2.0,0.0,0.0,7,14.0,1.0,2.0,0.0,0.0,3.0,0.246
99953,beachbr01,2015,LAN,NL,2,2,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
99954,beckch02,2015,CHA,AL,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99955,beckhgo01,2015,CHA,AL,100,211,24,44,8,0,6,20.0,0.0,1.0,19,43.0,1.0,2.0,1.0,4.0,6.0,0.209
99956,beckhti01,2015,TBA,AL,82,203,24,45,7,4,9,37.0,3.0,1.0,13,69.0,0.0,3.0,0.0,4.0,3.0,0.222
99957,bedroca01,2015,LAA,AL,34,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99958,beeleda01,2015,CHN,NL,3,3,0,1,1,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.333
99959,beimejo01,2015,SEA,AL,53,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99960,belisma01,2015,SLN,NL,34,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99961,belisro01,2015,TBA,AL,6,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99962,belivje01,2015,TBA,AL,5,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99963,bellaan01,2015,TBA,AL,17,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99964,beltbr01,2015,SFN,NL,137,492,73,138,33,5,18,68.0,9.0,3.0,56,147.0,2.0,4.0,0.0,4.0,3.0,0.28
99965,beltrad01,2015,TEX,AL,143,567,83,163,32,4,18,83.0,1.0,0.0,41,65.0,4.0,3.0,0.0,8.0,18.0,0.287
99966,beltrca01,2015,NYA,AL,133,478,57,132,34,1,19,67.0,0.0,0.0,45,85.0,2.0,2.0,0.0,6.0,12.0,0.276
99967,benoijo01,2015,SDN,NL,67,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99968,bergmch01,2015,COL,NL,30,12,1,2,0,0,0,0.0,0.0,0.0,1,4.0,0.0,0.0,2.0,0.0,0.0,0.167
99969,bernido01,2015,MIN,AL,4,5,1,1,1,0,0,2.0,0.0,0.0,1,3.0,0.0,0.0,0.0,0.0,0.0,0.2
99970,berryqu01,2015,CHN,NL,8,1,1,0,0,0,0,0.0,2.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
99971,betande01,2015,NYA,AL,74,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99972,betanra01,2015,COL,NL,45,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99973,bethach01,2015,ATL,NL,48,155,16,31,8,0,2,12.0,1.0,1.0,5,33.0,1.0,0.0,0.0,0.0,7.0,0.2
99974,bettich01,2015,COL,NL,20,29,2,2,0,0,0,1.0,0.0,0.0,4,13.0,0.0,0.0,0.0,0.0,0.0,0.069
99975,bettsmo01,2015,BOS,AL,145,597,92,174,42,8,18,77.0,21.0,6.0,46,82.0,1.0,2.0,3.0,6.0,2.0,0.291
99976,biancje01,2015,BOS,AL,3,2,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99977,billich01,2015,PHI,NL,7,13,2,1,0,0,1,1.0,0.0,0.0,0,5.0,0.0,0.0,1.0,0.0,1.0,0.077
99978,birdgr01,2015,NYA,AL,46,157,26,41,9,0,11,31.0,0.0,0.0,19,53.0,0.0,1.0,0.0,1.0,1.0,0.261
99979,blackch02,2015,COL,NL,157,614,93,176,31,9,17,58.0,43.0,13.0,46,112.0,2.0,13.0,5.0,4.0,4.0,0.287
99980,blairca01,2015,OAK,AL,11,31,3,4,0,0,1,3.0,0.0,0.0,4,18.0,0.0,0.0,0.0,0.0,1.0,0.129
99981,blancan01,2015,PHI,NL,106,233,32,68,22,3,7,25.0,1.0,1.0,21,44.0,0.0,4.0,3.0,0.0,11.0,0.292
99982,blancgr01,2015,SFN,NL,115,327,59,95,19,3,5,26.0,13.0,5.0,40,59.0,7.0,2.0,0.0,3.0,3.0,0.291
99983,blankky01,2015,TEX,AL,18,67,10,21,5,0,3,6.0,1.0,0.0,4,20.0,0.0,0.0,0.0,0.0,1.0,0.313
99984,blantjo01,2015,KCA,AL,15,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99985,blantjo01,2015,PIT,NL,21,3,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
99986,blazemi01,2015,MIL,NL,45,4,0,1,1,0,0,1.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.25
99987,blevije01,2015,NYN,NL,7,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99988,bloomwi01,2015,SEA,AL,35,69,2,11,1,0,0,4.0,1.0,1.0,2,13.0,0.0,1.0,0.0,0.0,2.0,0.159
99989,bochybr02,2015,SFN,NL,4,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99990,boescbr01,2015,CIN,NL,51,89,4,13,2,0,1,5.0,1.0,0.0,4,30.0,0.0,1.0,0.0,0.0,0.0,0.146
99991,bogaexa01,2015,BOS,AL,156,613,84,196,35,3,7,81.0,10.0,2.0,32,101.0,1.0,3.0,3.0,3.0,16.0,0.32
