,name,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
258,David Peralta,272.0,1.0,68.0,0.0,0.0,0.0,67.0,0.0,67.0,0.279,0.338,0.457,0.796
259,Jose Peraza,193.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.238,0.267,0.327,0.594
260,Michael Perez,72.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,24.0,0.169,0.258,0.292,0.55
261,Roberto Perez,117.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,39.0,0.192,0.291,0.349,0.64
262,Salvador Perez,200.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,50.0,0.263,0.3,0.486,0.786
263,Jace Peterson,78.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,37.0,0.205,0.322,0.328,0.65
264,Tommy Pham,284.0,71.0,71.0,0.0,0.0,0.0,0.0,67.0,71.0,0.265,0.373,0.411,0.784
265,Brett Phillips,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.195,0.288,0.329,0.617
266,Kevin Pillar,292.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,73.0,0.242,0.277,0.399,0.676
267,Chad Pinder,150.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.256,0.308,0.452,0.759
268,Stephen Piscotty,219.0,0.0,55.0,0.0,0.0,0.0,55.0,0.0,55.0,0.243,0.309,0.405,0.714
269,Kevin Plawecki,102.0,0.0,34.0,0.0,0.0,0.0,1.0,0.0,34.0,0.253,0.334,0.368,0.702
270,Jorge Polanco,264.0,66.0,66.0,0.0,0.0,0.0,63.0,0.0,65.0,0.284,0.347,0.456,0.803
271,Buster Posey,200.0,6.0,50.0,0.0,0.0,0.0,1.0,1.0,49.0,0.297,0.368,0.477,0.845
272,Jurickson Profar,216.0,72.0,72.0,0.0,0.0,0.0,0.0,0.0,71.0,0.225,0.314,0.359,0.673
273,Albert Pujols,240.0,0.0,60.0,0.0,0.0,0.0,60.0,0.0,60.0,0.229,0.285,0.406,0.691
274,Roman Quinn,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.07,0.177,0.08,0.256
275,Cal Raleigh,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.167,0.215,0.265,0.48
276,Harold Ramirez,102.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,33.0,0.279,0.317,0.426,0.743
277,Jose Ramirez,300.0,75.0,75.0,0.0,0.0,0.0,74.0,75.0,74.0,0.258,0.35,0.496,0.847
278,Wilson Ramos,156.0,0.0,52.0,0.0,0.0,0.0,52.0,0.0,52.0,0.272,0.332,0.409,0.742
279,J.T. Realmuto,312.0,77.0,79.0,0.0,0.0,0.0,52.0,0.0,81.0,0.272,0.369,0.455,0.824
280,Anthony Rendon,236.0,58.0,59.0,0.0,0.0,0.0,59.0,59.0,59.0,0.287,0.395,0.539,0.934
281,Hunter Renfroe,205.0,7.0,67.0,0.0,0.0,0.0,67.0,0.0,67.0,0.233,0.294,0.472,0.766
282,Luis Rengifo,90.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,30.0,0.204,0.269,0.319,0.587
283,Franmil Reyes,186.0,4.0,62.0,0.0,0.0,0.0,62.0,0.0,62.0,0.251,0.303,0.514,0.817
284,Victor Reyes,139.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,46.0,0.242,0.27,0.342,0.611
285,Bryan Reynolds,211.0,53.0,53.0,0.0,0.0,0.0,53.0,1.0,53.0,0.287,0.368,0.468,0.836
286,Austin Riley,176.0,43.0,44.0,0.0,0.0,0.0,44.0,0.0,44.0,0.261,0.334,0.462,0.796
287,Edwin Rios,25.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,13.0,0.233,0.347,0.489,0.837
288,Anthony Rizzo,299.0,72.0,75.0,0.0,0.0,0.0,75.0,2.0,74.0,0.25,0.366,0.459,0.825
289,Luis Robert,76.0,19.0,20.0,0.0,0.0,0.0,18.0,1.0,19.0,0.303,0.352,0.501,0.853
290,Brendan Rodgers,84.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,21.0,0.272,0.333,0.442,0.776
291,Jake Rogers,34.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,12.0,0.202,0.274,0.394,0.668
292,Josh Rojas,119.0,27.0,30.0,0.0,0.0,0.0,0.0,1.0,30.0,0.256,0.335,0.421,0.756
293,Miguel Rojas,207.0,1.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.276,0.341,0.392,0.733
294,Austin Romine,99.0,1.0,33.0,0.0,0.0,0.0,32.0,0.0,33.0,0.266,0.299,0.41,0.709
295,Jose Rondon,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.221,0.285,0.31,0.595
296,Brent Rooker,31.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,11.0,0.179,0.245,0.361,0.606
297,Amed Rosario,300.0,3.0,75.0,0.0,0.0,0.0,0.0,0.0,75.0,0.254,0.297,0.379,0.675
298,Eddie Rosario,268.0,67.0,67.0,0.0,0.0,0.0,67.0,0.0,67.0,0.259,0.305,0.475,0.78
299,Darin Ruf,47.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,23.0,0.253,0.367,0.512,0.879
300,Keibert Ruiz,30.0,5.0,10.0,0.0,0.0,2.0,7.0,5.0,-3.0,0.004,0.087,-1.071,-0.983
301,Gary Sanchez,166.0,54.0,55.0,0.0,0.0,0.0,55.0,0.0,55.0,0.21,0.306,0.471,0.777
302,Jesus Sanchez,36.0,6.0,11.0,0.0,0.0,0.0,12.0,1.0,13.0,0.239,0.317,0.448,0.765
303,Miguel Sano,220.0,55.0,55.0,0.0,0.0,0.0,55.0,0.0,109.0,0.206,0.294,0.472,0.766
304,Anthony Santander,164.0,0.0,41.0,0.0,0.0,0.0,41.0,0.0,41.0,0.258,0.304,0.457,0.761
305,Carlos Santana,321.0,81.0,81.0,0.0,0.0,0.0,81.0,81.0,81.0,0.247,0.38,0.433,0.812
306,Jonathan Schoop,272.0,68.0,68.0,0.0,0.0,0.0,68.0,0.0,68.0,0.246,0.29,0.422,0.712
307,Max Schrock,20.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.305,0.354,0.52,0.874
308,Kyle Schwarber,210.0,0.0,70.0,0.0,0.0,0.0,70.0,1.0,70.0,0.237,0.336,0.472,0.807
309,Corey Seager,188.0,47.0,47.0,0.0,0.0,0.0,47.0,0.0,47.0,0.273,0.357,0.452,0.809
