,name,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
108,Matt Foster,0.0,0.0,3.78,9.1,9.0,7.0,0.0,1.0,8.0,0.99
109,Kyle Freeland,0.0,0.0,5.084,73.7,84.0,42.0,14.0,28.0,55.0,1.49
110,Max Fried,0.0,0.0,3.712,61.3,64.0,26.0,4.0,26.0,65.0,1.3
111,Michael Fulmer,0.0,0.0,4.408,24.3,31.0,13.0,0.0,11.0,25.0,1.32
112,Giovanny Gallegos,0.0,0.0,2.514,24.7,25.0,0.0,0.0,0.0,25.0,0.74
113,Zac Gallen,0.0,0.0,3.712,41.4,32.0,14.0,8.0,17.0,49.0,1.37
114,John Gant,0.0,0.0,2.384,41.5,41.0,20.0,0.0,22.0,41.0,1.15
115,Bryan Garcia,0.0,0.0,5.909,9.9,11.0,9.0,0.0,11.0,11.0,1.58
116,Jarlin Garcia,0.0,0.0,3.809,24.0,24.0,2.0,0.0,1.0,24.0,1.15
117,Luis Garcia,0.0,0.0,3.608,18.0,26.0,16.0,0.0,0.0,27.0,1.22
118,Luis Garcia,3.0,0.0,3.147,30.5,25.0,12.0,6.0,10.0,36.0,1.09
119,Yimi Garcia,0.0,0.0,3.746,22.5,24.0,0.0,0.0,0.0,25.0,1.08
120,Amir Garrett,0.0,0.0,5.014,21.7,33.0,0.0,0.0,0.0,33.0,1.39
121,Kevin Gausman,1.0,0.0,3.174,98.3,86.0,34.0,16.0,33.0,106.0,1.06
122,Domingo German,0.0,0.0,4.245,50.5,44.0,25.0,11.0,15.0,54.0,1.19
123,Kyle Gibson,0.0,0.0,5.246,91.5,87.0,36.0,17.0,34.0,84.0,1.51
124,Logan Gilbert,0.0,0.0,4.595,18.1,19.0,11.0,4.0,4.0,20.0,1.13
125,Kevin Ginkel,0.0,0.0,5.96,8.4,12.0,0.0,0.0,1.0,12.0,1.73
126,Lucas Giolito,0.0,0.0,4.802,90.5,80.0,49.0,16.0,32.0,111.0,1.26
127,Mychal Givens,0.0,0.0,3.863,29.3,31.0,1.0,0.0,1.0,31.0,1.31
128,Tyler Glasnow,0.0,0.0,2.564,50.0,41.0,15.0,13.0,16.0,66.0,1.0
129,Austin Gomber,1.0,0.0,3.708,39.2,41.0,20.0,3.0,10.0,40.0,1.29
130,Marco Gonzales,0.0,1.0,4.784,84.9,87.0,41.0,15.0,15.0,74.0,1.33
131,Brusdar Graterol,0.0,0.0,5.157,10.3,10.0,0.0,0.0,1.0,11.0,1.39
132,Kendall Graveman,0.0,0.0,0.508,8.5,4.0,1.0,-1.0,0.0,9.0,0.59
133,Jon Gray,0.0,0.0,4.385,78.9,82.0,45.0,15.0,30.0,75.0,1.3
134,Josiah Gray,0.0,61.0,48.83,-49.6,-113.0,217.0,146.0,-89.0,517.0,5.09
135,Sonny Gray,0.0,0.0,4.042,73.8,60.0,30.0,14.0,30.0,90.0,1.34
136,Chad Green,0.0,0.0,3.472,33.9,31.0,0.0,0.0,0.0,55.0,1.02
137,Conner Greene,0.0,0.0,4.595,2.8,4.0,2.0,0.0,2.0,4.0,1.42
